time,algoritimo,server,carId, CoordX, CoordY, idObj,SizeObj,obDetect,prioridadeVideo,deadline,coordObjX,coordObjY,
36131,2,server1,4,381.84,779.8,204,0.545698,2,2,186293,182.37,595556,
89619,2,server1,5,423838,773.4,204,0.545698,2,2,239781,182.37,595556,
35299,2,server1,8,405289,776.6,204,0.545698,2,2,185461,182.37,595556,
39179,2,server1,14,770.2,369321,205,1.8413,2,2,160411,627162,276714,
91224,2,server1,14,773.4,756764,205,1.28305,2,1,284731,544357,677025,
96326,2,server1,1,327928,770.2,206,0.422112,2,2,318.55,562141,864215,
89188,2,server1,5,430593,773.4,206,0.808705,2,2,332373,636377,960174,
39179,2,server1,14,770.2,369321,206,0.403289,2,2,190479,567173,409467,
91224,2,server1,14,773.4,756764,206,0.808705,2,2,334409,636377,960174,
36619,2,server1,22,770.2,188644,206,0.403289,2,2,187919,567173,409467,
90287,2,server1,22,773.4,748597,206,0.808705,2,2,333472,636377,960174,
40512,2,server1,26,770.2,189798,206,0.403289,2,2,191812,567173,409467,
46717,2,server1,30,770.2,188654,206,0.403289,2,2,198017,567173,409467,
37.15,2,server1,10,770.2,367971,211,2.42829,2,2,136429,908.43,307376,
39179,2,server1,14,770.2,369321,211,2.42829,2,2,138458,908.43,307376,
37.15,2,server1,10,770.2,367971,212,0.687381,2,0,106.26,928217,333107,
39179,2,server1,14,770.2,369321,212,0.687381,2,0,108289,928217,333107,
37292,2,server1,28,111516,779.8,212,1.21369,2,2,153503,-82.4768,764468,
37.01,2,server1,30,770.2,78.6573,212,0.687381,2,0,106.12,928217,333107,
37.15,2,server1,10,770.2,367971,213,0.483109,2,1,128406,672838,470921,
37.15,2,server1,10,770.2,367971,213,1.20834,2,1,134378,605.87,285697,
39179,2,server1,14,770.2,369321,213,0.483109,2,1,130435,672838,470921,
39179,2,server1,14,770.2,369321,213,1.20834,2,1,136407,605.87,285697,
36.51,2,server1,22,770.2,187204,213,0.483109,2,1,127766,672838,470921,
40417,2,server1,26,770.2,188.33,213,0.483109,2,1,131673,672838,470921,
46616,2,server1,30,770.2,187524,213,0.483109,2,1,137872,672838,470921,
36131,2,server1,4,381.84,779.8,214,1.08592,2,0,107374,202778,828,
36131,2,server1,4,381.84,779.8,214,1.17858,2,2,153405,435776,751881,
35299,2,server1,8,405289,776.6,214,1.08592,2,0,106542,202778,828,
35299,2,server1,8,405289,776.6,214,1.17858,2,2,152573,435776,751881,
37.15,2,server1,10,770.2,367971,214,0.805825,2,2,162462,562.53,341.45,
39179,2,server1,14,770.2,369321,214,0.805825,2,2,164491,562.53,341.45,
38217,2,server1,16,306209,779.8,214,1.08592,2,0,109.46,202778,828,
38217,2,server1,16,306209,779.8,214,1.17858,2,2,155491,435776,751881,
36322,2,server1,20,196149,779.8,214,1.08592,2,0,107565,202778,828,
36322,2,server1,20,196149,779.8,214,1.17858,2,2,153596,435776,751881,
36135,2,server1,26,770.2,125212,214,0.805825,2,2,161447,562.53,341.45,
37292,2,server1,28,111516,779.8,214,1.08592,2,0,108535,202778,828,
41156,2,server1,28,172416,779.8,214,1.17858,2,2,158.43,435776,751881,
41116,2,server1,30,770.2,125144,214,0.805825,2,2,166428,562.53,341.45,
36131,2,server1,4,381.84,779.8,215,1.78746,2,0,107.41,232918,583729,
35299,2,server1,8,405289,776.6,215,1.78746,2,0,106578,232918,583729,
38217,2,server1,16,306209,779.8,215,1.78746,2,0,109496,232918,583729,
36322,2,server1,20,196149,779.8,215,1.78746,2,0,107601,232918,583729,
37292,2,server1,28,111516,779.8,215,1.78746,2,0,108571,232918,583729,
44211,2,server1,4,479855,779.8,216,1.37001,2,1,139495,609864,571007,
89142,2,server1,5,430593,773.4,216,1.37001,2,1,184426,609864,571007,
35299,2,server1,8,405289,776.6,216,1.37001,2,1,130583,609864,571007,
37.15,2,server1,10,770.2,367971,216,1.37001,2,1,132434,609864,571007,
52274,2,server1,12,546569,779.8,216,1.37001,2,1,147558,609864,571007,
39179,2,server1,14,770.2,369321,216,1.37001,2,1,134463,609864,571007,
45289,2,server1,16,411001,779.8,216,1.37001,2,1,140573,609864,571007,
40317,2,server1,18,770.2,330574,216,1.37001,2,1,135601,609864,571007,
58141,2,server1,20,469772,779.8,216,1.37001,2,1,153425,609864,571007,
46151,2,server1,22,770.2,325938,216,1.37001,2,1,141435,609864,571007,
56325,2,server1,24,458452,776.6,216,1.37001,2,1,151609,609864,571007,
50.29,2,server1,26,770.2,332186,216,1.37001,2,1,145574,609864,571007,
61313,2,server1,28,483279,776.6,216,1.37001,2,1,156597,609864,571007,
61149,2,server1,30,770.2,352109,216,1.37001,2,1,156433,609864,571007,
41296,2,server1,2,770.2,485032,217,1.15549,2,1,122418,835621,337699,
37.15,2,server1,10,770.2,367971,217,0.503232,2,1,115272,487999,366595,
37.15,2,server1,10,770.2,367971,217,1.15549,2,1,118272,835621,337699,
39179,2,server1,14,770.2,369321,217,0.503232,2,1,117301,487999,366595,
39179,2,server1,14,770.2,369321,217,1.15549,2,1,120301,835621,337699,
37186,2,server1,18,770.2,278063,217,0.503232,2,1,115308,487999,366595,
37186,2,server1,18,770.2,278063,217,1.15549,2,1,118308,835621,337699,
46151,2,server1,22,770.2,325938,217,0.503232,2,1,124273,487999,366595,
54155,2,server1,30,770.2,272661,217,0.503232,2,1,132277,487999,366595,
37.15,2,server1,10,770.2,367971,218,1.6096,2,1,118278,1016.73,250907,
39179,2,server1,14,770.2,369321,218,1.6096,2,1,120307,1016.73,250907,
37186,2,server1,18,770.2,278063,218,1.6096,2,1,118314,1016.73,250907,
37212,2,server1,30,770.2,80.9155,218,1.6096,2,1,118.34,1016.73,250907,
37.15,2,server1,10,770.2,367971,219,2.16862,2,1,115278,965257,143934,
39179,2,server1,14,770.2,369321,219,2.16862,2,1,117307,965257,143934,
37186,2,server1,18,770.2,278063,219,2.16862,2,1,115314,965257,143934,
48297,2,server1,0,653594,779.8,220,0.443848,2,1,152466,542908,550.22,
41296,2,server1,2,770.2,485032,220,0.443848,2,1,145465,542908,550.22,
36131,2,server1,4,381.84,779.8,220,0.443848,2,1,140.3,542908,550.22,
89142,2,server1,5,430593,773.4,220,0.443848,2,1,193311,542908,550.22,
35299,2,server1,8,405289,776.6,220,0.443848,2,1,139468,542908,550.22,
37.15,2,server1,10,770.2,367971,220,0.443848,2,1,141319,542908,550.22,
40308,2,server1,12,377603,779.8,220,0.443848,2,1,144477,542908,550.22,
39179,2,server1,14,770.2,369321,220,0.443848,2,1,143348,542908,550.22,
45289,2,server1,16,411001,779.8,220,0.443848,2,1,149458,542908,550.22,
44233,2,server1,18,770.2,394585,220,0.443848,2,1,148402,542908,550.22,
50.26,2,server1,20,370602,779.8,220,0.443848,2,1,154429,542908,550.22,
50206,2,server1,22,770.2,383763,220,0.443848,2,1,154375,542908,550.22,
48913,2,server1,24,346535,776.6,220,0.443848,2,1,153082,542908,550.22,
55228,2,server1,26,770.2,405566,220,0.443848,2,1,159397,542908,550.22,
61313,2,server1,28,483279,776.6,220,0.443848,2,1,165482,542908,550.22,
61411,2,server1,30,770.2,355513,220,0.443848,2,1,165.58,542908,550.22,
36131,2,server1,4,381.84,779.8,221,0.708731,2,1,113366,382662,969575,
35299,2,server1,8,405289,776.6,221,0.708731,2,1,112534,382662,969575,
38217,2,server1,16,306209,779.8,221,0.708731,2,1,115452,382662,969575,
36322,2,server1,20,196149,779.8,221,0.708731,2,1,113557,382662,969575,
38.31,2,server1,24,188155,779.8,221,0.708731,2,1,115545,382662,969575,
41156,2,server1,28,172416,779.8,221,0.708731,2,1,118391,382662,969575,
41296,2,server1,2,770.2,485032,222,0.407232,2,1,133.54,815588,239659,
